Year,Month,Day,Car,Showroom Price (BND)
2015,8,,AUDI A1 1.4L TFSI S-TRONIC SPORTBACK PETROL,"$39,000.00"
2015,8,,AUDI A3 1.4L TFSI S-TRONIC AUTO SEDAN PETROL,"$41,900.00"
2015,8,,AUDI A4 1.8L TFSI MULTITRONIC AUTO SEDAN PETROL,"$57,700.00"
2015,8,,AUDI A4 1.8L TFSI AVANT MULTITRONIC PETROL,"$64,300.00"
2015,8,,AUDI A5 1.8L TFSI SPORTBACK TIPTRONIC (AUTO) PETROL,"$68,100.00"
2015,8,,AUDI A5 2.0L TFSI COUPE TIPTRONIC (AUTO) PETROL,"$80,100.00"
2015,8,,AUDI A6 2.0L TFSI MULTITRONIC SEDAN PETROL,"$77,400.00"
2015,8,,AUDI A6 3.0TFSI QUATTRO 7-SPEED S-TRONIC AUTO PETROL,"$102,200.00"
2015,8,,AUDI A7 SPORTBACK 3.0L TFSI QUATTRO S-TRONIC PETROL,"$120,000.00"
2015,8,,AUDI A8L 3.0L TFSi QUATTRO TIPTRONIC PETROL,"$165,350.00"
2015,8,,AUDI Q7 3.0L TDi QUATTRO TIPTRONIC AUTO SUV 7-SEATERS DIESEL,"$133,050.00"
2015,8,,AUDI S3 2.0L TFSI QUATTRO S-TRONIC PETROL,"$71,650.00"
2015,8,,BAW PLUTO BJ6490 XBD1.RP 2.2L MANUAL 9-SEATER 4-DOORS,"$25,150.00"
2015,8,,BAW PLUTO BJ6490 XBT1.R 2.5L MANUAL 9-SEATER 4-DOORS,"$29,750.00"
2015,8,,BMW ACTIVE HYBRID 7L 3.0L AUTO 4-DOORS RHD PETROL,"$185,400.00"
2015,8,,BMW 116i BUSINESS LINE 1.6L AUTO 5-DOORS HATCH BACK PETROL,"$47,750.00"
2015,8,,BMW 118i M SPORT1.6L AUTO5-DOORS H/BACK PETROL,"$53,200.00"
2015,8,,BMW 218i ACTIVE TOURER 1.5L AUTO PETROL,"$60,650.00"
2015,8,,BMW 220i COUPE SPORT LINE 2.0L MANUAL PETROL,"$65,850.00"
2015,8,,BMW 320i M SPORT PACKE 2.0L AUTO PETROL,"$74,200.00"
2015,8,,BMW 420i GRAN COUPE 2.0L AUTO 4-DOORS PETROL,"$83,050.00"
2015,8,,BMW 520i FACELIFT LUXURY LINE 2.0L AUTO PETROL,"$87,550.00"
2015,8,,BMW 528i FACELIFT M SPORT 2.0L AUTO PETROL,"$121,200.00"
2015,8,,BMW M3 4.0L AUTO 4-DOORS PETROL,"$216,800.00"
2015,8,,BMW M4 COUPE 3.0L AUTO PETROL,"$209,700.00"
2015,8,,BMW X1 xDRIVE 20i BUSINESS LINE 2.0L AUTO 5-DOORS PETROL,"$62,750.00"
2015,8,,BMW X3 xDRIVE 20i BUSINESS LINE 2.0L AUTO SUV PETROL,"$81,200.00"
