Year,Month,Day,Car,Showroom Price (BND)
2017,5,31,AUDI A3 1.2L TFSI S-TRONIC SPORT LINE AUTO SEDAN PETROL,"$40,375.00"
2017,5,31,AUDI A4 1.4L TFSI S-TRONIC AUTO SEDAN PETROL,"$49,750.00"
2017,5,31,AUDI A4 2.0L TFSI ULTRA S-TRONIC AUTO SEDAN PETROL,"$56,852.00"
2017,5,31,AUDI A4 2.0L TFSI QUATTRO AUTO 7-SPEED S-TRONIC SEDAN PETROL,"$66,016.00"
2017,5,31,AUDI A5 1.8L TFSI SPORTBACK TIPTRONIC AUTO PETROL,"$68,100.00"
2017,5,31,AUDI A6 1.8L TFSI S-TRONIC S-LINE AUTO PETROL,"$72,687.00"
2017,5,31,AUDI A8L 3.0L TFSi QUATTRO TIPTRONIC AUTO SEDAN PETROL,"$165,350.00"
2017,5,31,AUDI Q2 1.0L TFSI S-TRONIC AUTO WAGON PETROL,"$43,570.00"
2017,5,31,AUDI Q2 1.0L TFSI S-TRONIC AUTO S-LINE SPORT WAGON PETROL,"$49,206.00"
2017,5,31,AUDI Q3 2.0L TFSI QUATTRO S-TRONIC AUTO SUV PETROL,"$59,935.00"
2017,5,31,AUDI Q7 3.0L TFSi QUATTRO TIPTRONIC AWD AUTO SUV PETROL,"$122,600.00"
2017,5,31,AUDI S3 2.0L TFSI QUATTRO S-TRONIC AUTO PETROL,"$71,650.00"
2017,5,31,AUDI S6 4.0L TFSI QUATTRO S-TRONIC AUTO SEDAN PETROL,"$139,857.00"
2017,5,31,AUDI S7 4.0L TFSI QUATTRO S-TRONIC AUTO SPORTBACK SEDAN PETROL,"$148,224.00"
2017,5,31,AUDI TT 2.0L TFSI S-TRONIC AUTO COUPE PETROL,"$81,650.00"
2017,5,31,AUDI TTS 2.0L TFSI QUATTRO S-TRONIC AUTO COUPE PETROL,"$101,200.00"
2017,5,31,BAW BJ6490XBD-R 2.2L MANUAL 9-SEATERS WAGON STANDARD,"$25,150.00"
2017,5,31,BMW 118i 1.5L AUTO 5-DOORS RHD PETROL,"$46,523.00"
2017,5,31,BMW 218i ACTIVE TOURER LUXURY 1.5L AUTO WAGON PETROL,"$55,700.00"
