Year,Month,Day,Car,Showroom Price (BND)
2023,6,20,ALFA ROMEO GIULIA QUADRIOFOGLIO 2.9L TURBO AUTO SEDAN PETROL,"$139,973.00"
2023,6,20,ALFA ROMEO GIULIA SUPER 2.0L AUTO SEDAN PETROL,"$63,900.00"
2023,6,20,AUDI A3 1.4L TFSI S-TRONIC S LINE BE LIMOUSINE PETROL,"$63,770.00"
2023,6,20,AUDI A3 1.4L TFSI S-TRONIC S LINE LIMOUSINE PETROL,"$60,152.00"
2023,6,20,AUDI A4 2.0L TFSI (40) S-TRONIC AUTO LIMOUSINE PETROL,"$70,243.00"
2023,6,20,AUDI A4 2.0L TFSI QUATTRO (45) S-TRONIC AUTO LIMOUSINE PETROL (S LINE),"$80,055.00"
2023,6,20,AUDI A6 2.0L TFSI S-TRONIC SPORT SEDAN PETROL,"$92,100.00"
2023,6,20,AUDI A7 3.0L TFSI QUATTRO S-TRONIC AUTO SPORTBACK PETROL,"$128,197.00"
2023,6,20,AUDI A8L 3.0L (55) TFSi QUATTRO TIPTRONIC AUTO SEDAN PETROL,"$181,740.00"
2023,6,20,AUDI Q2 1.4L TFSI (35) S-TRONIC AUTO SUV PETROL (S-LINE),"$53,918.00"
2023,6,20,AUDI Q3 1.4L (35) TFSI S-TRONIC AUTO SPORTBACK PETROL (S-LINE),"$67,293.00"
2023,6,20,AUDI Q3 1.4L (35) TFSI S-TRONIC AUTO SUV PETROL (ADVANCE LINE),"$62,549.00"
2023,6,20,AUDI Q3 2.0L TFSI S-TRONIC AUTO SUV PETROL (ADVANCE LINE),"$67,053.00"
2023,6,20,AUDI Q5 2.0L TFSI QUATTRO AUTO SPORTBACK S-LINE PETROL,"$88,928.00"
2023,6,20,AUDI Q5 2.0L TFSI QUATTRO S-TRONIC AUTO SUV PETROL (S-LINE BE),"$89,800.00"
2023,6,20,AUDI Q5 2.0L TFSI QUATTRO S-TRONIC AUTO SUV PETROL (S-LINE),"$82,800.00"
2023,6,20,AUDI Q7 2.0L TFSI (45) QUATTRO TIPTRONIC AUTO AWD 5-SEATERS SUV PETROL,"$111,689.00"
2023,6,20,AUDI Q7 3.0L TFSI (55) QUATTRO TIPTRONIC AUTO AWD 5-SEATERS SUV PETROL,"$128,236.00"
2023,6,20,AUDI Q7 3.0L TFSI (55) QUATTRO TIPTRONIC AUTO AWD 5-SEATERS SUV PETROL (S- LINE),"$137,371.00"
2023,6,20,AUDI Q8 3.0L TFSI QUATTRO TIPTRONIC AUTO AWD 5-SEATERS SUV PETROL (S-LINE BE),"$139,659.00"
2023,6,20,AUDI S3 2.0L TFSI QUATTRO S TRONIC SPORTBACK PETROL,"$83,553.00"
2023,6,20,BAIC BJ40L 2.0L AUTO OFF-ROAD SUV PETROL,"$46,571.00"
2023,6,20,BAIC X55II 1.5L AUTO SUV PETROL - FASHION,"$35,608.00"
2023,6,20,BAIC X55II 1.5L AUTO SUV PETROL - HONOR,"$37,742.00"
2023,6,20,BMW 118i M SPORT 1.5L AUTO 5-DOORS HATCHBACK PETROL,"$74,556.00"
2023,6,20,BMW 218i GRAN COUPE M SPORT 1.5L AUTO 4-DOORS PETROL,"$84,347.00"
2023,6,20,BMW 318i M SPORT 2.0L AUTO SEDAN PETROL,"$93,373.88"
2023,6,20,BMW 330i MSPORT 2.0L AUTO SEDAN PETROL,"$110,433.96"
2023,6,20,BMW 420i COUPE 2.0L AUTO 2-DOORS PETROL,"$124,261.00"
2023,6,20,BMW 420i GRAN COUPE M SPORT 2.0L AUTO 4-DOORS PETROL,"$120,978.00"
2023,6,20,BMW 740Li PURE EXCELLENCE 3.0L AUTO SEDAN PETROL,"$254,980.00"
2023,6,20,BMW iX M SPORT 210kW/286HP AUTO SUV (ELECTRIC VEHICLE),"$206,908.86"
2023,6,20,BMW iX3 M SPORT 210kW/286HP AUTO SUV (ELECTRIC VEHICLE),"$140,692.00"
2023,6,20,BMW M135i 2.0L AUTO RHD HATCHBACK PETROL,"$114,928.00"
2023,6,20,BMW M2 COMPETITION 3.0L AUTO 2-DOORS COUPE PETROL,"$172,306.00"
2023,6,20,BMW M235i XDrive 3.0L AUTO 4-DOORS COUPE PETROL,"$122,706.00"
2023,6,20,BMW M3 CS 3.0L AUTO SEDAN PETROL,"$321,499.00"
2023,6,20,BMW X1 SDRIVE 18i M SPORT 1.5L AUTO SUV PETROL,"$87,641.00"
2023,6,20,BMW X3 XDRIVE 20i M SPORT 2.0L AUTO SUV PETROL,"$113,638.00"
2023,6,20,BMW X4 XDRIVE 20i M SPORT 2.0L AUTO SUV PETROL,"$126,496.00"
2023,6,20,CHANGAN ALSVIN LEVEL 1 (PKH1002) 1.5L AUTO SEDAN PETROL,"$21,500.00"
2023,6,20,CHANGAN ALSVIN LEVEL 2 (PKH1002) 1.5L AUTO SEDAN PETROL,"$22,500.00"
2023,6,20,CHANGAN ALSVIN LEVEL 3 (PKH1002) 1.5L AUTO SEDAN PETROL,"$22,900.00"
2023,6,20,CHERY A5 2.0L MANUAL COMFORTABLE SEDAN PETROL,"$22,526.00"
2023,6,20,CHERY FULWIN2 1.5L MANUAL SEDAN PETROL,"$17,752.00"
2023,6,20,CHEVROLET CAPTIVA 1.5L T LV2 (PREMIER SPEC) CVT AUTO 4X2 SUV PETROL,"$38,586.00"
2023,6,20,CHRYSLER 300C LUXURY SERIES 3.0L AUTO SEDAN PETROL,"$82,177.00"
2023,6,20,CHRYSLER SRT RWD 6.4L 8-SPEED AUTOMATIC TRANSMISSION HEMI WITH FUEL SAVER TECH SEDAN PETROL,"$100,800.00"
2023,6,20,CITROEN C5 AIRCROSS 1.6L AUTO 2WD SUV PETROL,"$39,765.00"
2023,6,20,DAIHATSU GRAN MAX 1.5L AUTO 5-DOORS 5-SEATERS VAN PETROL (MY: 2020),"$29,861.00"
2023,6,20,DAIHATSU GRAN MAX 1.5L MANUAL 5-DOORS 5-SEATERS VAN PETROL (MY: 2020),"$25,961.00"
2023,6,20,DFSK SOKON GLORY 330 1.5L MANUAL 7-SEATERS MPV PETROL,"$17,060.00"
