Year,Month,Day,Car,Showroom Price (BND)
2024,2,6,WULING E230R 30KW 300LV2 AUTO - ELECTRIC VEHICLE,"$36,176.00"
2024,1,15,WULING E230R 30KW 300LV2 AUTO - ELECTRIC VEHICLE,"$36,176.00"
2024,1,2,WULING E230R 30KW 300LV2 AUTO - ELECTRIC VEHICLE,"$36,176.00"
2024,2,6,WULING E230R 30KW 300LV2 AUTO - ELECTRIC VEHICLE,"$36,176.00"
2024,1,15,WULING E230R 30KW 300LV2 AUTO - ELECTRIC VEHICLE,"$36,176.00"
2024,1,2,WULING E230R 30KW 300LV2 AUTO - ELECTRIC VEHICLE,"$36,176.00"
2024,2,6,ALFA ROMEO GIULIA SUPER 2.0L AUTO SEDAN PETROL,"$63,900.00"
2024,2,6,AUDI A3 1.4L TFSI S-TRONIC S LINE BE LIMOUSINE PETROL,"$63,770.00"
2024,2,6,AUDI A3 1.4L TFSI S-TRONIC S LINE LIMOUSINE PETROL (HIGH GLOSS PACKAGE),"$60,152.00"
2024,2,6,AUDI A4 2.0L TFSI (40) S-TRONIC AUTO LIMOUSINE PETROL,"$70,243.00"
2024,2,6,AUDI A5 2.0L TFSI QUATTRO S-TRONIC S-LINE COUPE PETROL,"$92,000.00"
2024,2,6,AUDI A6 2.0L TFSI S-TRONIC SPORT PLUS SEDAN PETROL,"$92,100.00"
2024,2,6,AUDI A8L 3.0L (55) TFSi QUATTRO TIPTRONIC AUTO SEDAN PETROL,"$181,740.00"
2024,2,6,AUDI Q3 1.4L (35) TFSI S-TRONIC AUTO SPORTBACK PETROL (S-LINE),"$67,293.00"
2024,2,6,AUDI Q3 1.4L (35) TFSI S-TRONIC AUTO SUV PETROL (ADVANCE LINE),"$62,549.00"
2024,2,6,AUDI Q3 2.0L TFSI S-TRONIC AUTO SUV PETROL (ADVANCE LINE),"$67,053.00"
2024,2,6,AUDI Q5 2.0L TFSI QUATTRO AUTO SPORTBACK S-LINE PETROL,"$88,928.00"
2024,2,6,AUDI Q5 2.0L TFSI QUATTRO S-TRONIC AUTO SUV PETROL (S-LINE BE),"$89,800.00"
2024,2,6,AUDI Q7 2.0L TFSI (45) QUATTRO TIPTRONIC AUTO AWD 5-SEATERS SUV PETROL,"$111,689.00"
2024,2,6,AUDI Q7 3.0L TFSI (55) QUATTRO TIPTRONIC AUTO AWD 5-SEATERS SUV PETROL,"$128,236.00"
2024,2,6,AUDI Q7 3.0L TFSI (55) QUATTRO TIPTRONIC AUTO AWD 5-SEATERS SUV PETROL (S- LINE),"$137,371.00"
2024,2,6,AUDI Q8 3.0L TFSI QUATTRO TIPTRONIC AUTO AWD 5-SEATERS SUV PETROL (S-LINE BE),"$139,659.00"
2024,2,6,AUDI RS Q8 4.0L TFSI QUATTRO TIPTRONIC SUV PETROL,"$215,600.00"
2024,2,6,AUDI RS4 AVANT 2.9L TFSI QUATTRO TIPTRONIC AUTO PETROL,"$164,889.00"
2024,2,6,AUDI RS5 2.9L TFSI QUATTRO TIPTRONIC SPORTBACK,"$164,354.00"
2024,2,6,AUDI S3 2.0L TFSI QUATTRO S TRONIC SPORTBACK PETROL (MY: 2022),"$83,553.00"
2024,2,6,AUDI S3 2.0L TFSI QUATTRO S TRONIC SPORTBACK PETROL (MY: 2023),"$85,262.00"
2024,2,6,BAIC BJ40L 2.0L 8-SPEED AUTO OFF-ROAD SUV PETROL (NEW MODEL),"$50,737.00"
2024,2,6,BAIC X55II 1.5L AUTO SUV PETROL - FASHION,"$35,608.00"
2024,2,6,BAIC X55II 1.5L AUTO SUV PETROL - HONOR,"$37,742.00"
2024,2,6,BAIC X55II 1.5L AUTO SUV PETROL - LUXURY,"$39,877.00"
2024,2,6,"BYD ATTO 3, 5-DOORS SUV - ELECTRIC VEHICLE","$64,403.00"
2024,2,6,BMW 118i M SPORT 1.5L AUTO 5-DOORS HATCHBACK PETROL,"$74,556.00"
2024,2,6,BMW 218i GRAN COUPE M SPORT 1.5L AUTO 4-DOORS PETROL,"$84,347.00"
2024,2,6,BMW 318i M SPORT 2.0L AUTO SEDAN PETROL,"$93,374.00"
2024,2,6,BMW 420i COUPE 2.0L AUTO 2-DOORS PETROL,"$124,261.00"
2024,2,6,BMW 420i GRAN COUPE M SPORT 2.0L AUTO 4-DOORS PETROL,"$120,978.00"
2024,2,6,BMW 740Li PURE EXCELLENCE 3.0L AUTO SEDAN PETROL,"$254,980.00"
2024,2,6,BMW iX M SPORT 210kW/286HP AUTO SUV (ELECTRIC VEHICLE),"$206,909.00"
2024,2,6,BMW iX3 M SPORT 210kW/286HP AUTO SUV (ELECTRIC VEHICLE),"$140,692.00"
2024,2,6,BMW M135i 2.0L AUTO RHD HATCHBACK PETROL,"$114,928.00"
2024,2,6,BMW M2 COMPETITON 3.0L DOUBLE-CLUTCH AUTO 2-DOORS COUPE PETROL,"$158,999.00"
2024,2,6,BMW M235i XDRIVE 3.0L AUTO 4-DOORS COUPE PETROL,"$122,706.00"
2024,2,6,BMW X1 sDRIVE 18i M SPORT 1.5L AUTO 4-DOORS SUV PETROL,"$87,641.00"
2024,2,6,BMW X3 XDRIVE 20i M SPORT 2.0L AUTO SUV PETROL,"$101,970.00"
2024,2,6,BMW X4 XDRIVE 20i M SPORT 2.0L AUTO SUV PETROL,"$126,496.00"
2024,2,6,BMW X5 XDRIVE 40i M SPORT PRO 3.0L AUTO 4-DOORS SUV PETROL,"$190,211.00"
2024,2,6,BMW X6 XDRIVE 40i M SPORT PRO 3.0L AUTO SUV PETROL,"$193,321.00"
2024,2,6,BMW X7 XDRIVE 40i M SPORT 3.0L AUTO SUV PETROL,"$237,435.00"
2024,2,6,BMW XM 4.4L AUTO SUV PETROL,"$460,096.00"
2024,2,6,CHANGAN ALSVIN LEVEL 1 (PKH1002) 1.5L AUTO SEDAN PETROL,"$21,500.00"
